id,brand_id,brand_name,product_name,categories,discount,discount_rate,list_price,price,rating_average,review_count,stock_item_qty,stock_item_max_sale_qty,short_url
54713517,718933,ARADO FASHION,"Áo hoodie trơn màu đen thời trang trẻ trung, năng động - FORMENSHOP - FM5GV016",Thời Trang,71000,34,210000,139000,4.5,158,1000,1000,https://tiki.vn/product-p54713517.html?spid=54713521
172283135,273717,GOKING,"PARIS, mã G108. Áo phông GOKING hàng hiệu, form unisex cho nam nữ, trẻ em, bé trai gái. Áo thun in hình siêu đẹp, quà tặng cao cấp cho gia đình, cặp đôi, hội nhóm, doanh nghiệp.",Áo thun nam ngắn tay không cổ,0,0,69000,69000,4.8,40,1000,1000,https://tiki.vn/product-p172283135.html?spid=248763932
273275583,535627,5S,"Bộ Quần Áo Nỉ Nam Tay Dài 5S FASHION, Chất Liệu Cotton Cao Cấp, Dày Dặn, Mềm Mịn, Thiết Kế Basic, Co Giãn, Năng Động (BNI23019)",Đồ mặc nhà nam - Bộ dài,319000,44,718000,399000,0.0,0,1000,1000,https://tiki.vn/product-p273275583.html?spid=273275609
30763873,418935,KHATOCO ,Quần short kaki nam Khatoco Q3M378R0-VNIN002-2011-019,Quần kaki nam ngắn,0,0,378000,378000,4.8,26,1000,1000,https://tiki.vn/product-p30763873.html?spid=30763877
91861046,418935,KHATOCO ,Áo sơ mi nam tay dài form slim ôm sọc xanh Khatoco A1MD388S1-THSC039-2009-D,Áo sơ mi nam tay dài họa tiết,0,0,388000,388000,5.0,26,1000,1000,https://tiki.vn/product-p91861046.html?spid=91861050
30030737,418935,KHATOCO ,Quần Khaki Nam Không Ply Ống Ôm Khatoco Q2M528S0-VNMA002-1811-0004,Thời Trang,0,0,528000,528000,4.8,62,1000,1000,https://tiki.vn/product-p30030737.html?spid=30030739
203945886,5381221,AZUKI,"Áo Sưởi Ấm Azuki Raincoat R05 Chống Mưa Siêu Tốt, Pin 20000mah Chạy 10~15 Tiếng, Mới Nhất 2023, Bảo Hành 12 Tháng",Áo khoác phao nam,0,0,1150000,1150000,5.0,2,1000,1000,https://tiki.vn/product-p203945886.html?spid=203945948
80885842,191899,VICERO,Quần Đùi Nam Kaki 6 Màu Trẻ Trung Phong Cách Hàn Quốc VICERO ,Quần kaki nam ngắn,79000,33,238000,159000,4.5,520,1000,1000,https://tiki.vn/product-p80885842.html?spid=80885844
58221635,618559,Nexx & Dee,Quần jogger nam kaki Nexx&Dee vải kaki bố công sở đi chơi cao cấp QD01,Thời Trang,0,0,229000,229000,4.5,80,1000,1000,https://tiki.vn/product-p58221635.html?spid=58221637
20574575,418935,KHATOCO ,Áo Sơ Mi Nam Tay Dài Khatoco A1MD468S1-CNIN071-2009-D - Xanh,Root,0,0,468000,468000,0.0,0,1000,1000,https://tiki.vn/product-p20574575.html?spid=20574579
215072353,111461,OEM,"siêu phẩm áo khoác nam thiết kế phong cách sơ mi cực chất, phom áo ôm vừa phải tôn dáng dầy nam tính và năng động - H30",Áo khoác gió,155750,35,445000,289250,5.0,1,1000,1000,https://tiki.vn/product-p215072353.html?spid=215072359
29641000,111461,OEM,Áo sơ mi nam cổ trụ cài hết cúc ,Thời Trang,0,0,159000,159000,4.7,17,1000,1000,https://tiki.vn/product-p29641000.html?spid=29641002
220668927,224521,Doka,Quần kaki dài nam ( Tặng 1 dây nịt da cao cấp )  chất vải mềm mịn chống nhăn co giãn chuẩn phong cách thời trang Doka DKMQKK01,Quần kaki nam dài,50000,20,249000,199000,4.6,33,1000,1000,https://tiki.vn/product-p220668927.html?spid=220668929
95052893,317963,N6,Quần short nam big size quần sọt nam thể thao chống nóng quần đùi nam mặc nhà quần thun nam cotton 4 chiều co giãn cao cấp WSB2 ,Quần thun nam ngắn,46000,40,115000,69000,4.5,265,1000,1000,https://tiki.vn/product-p95052893.html?spid=203760060
272571401,939827,AVIANO,"Áo Khoác Nam AVIANO Cao Cấp Chống Nước,Chống Gió, Kháng Bụi Tốt, Chống Nắng.Áo Khoác Gió Nam Có Mũ 2 Lớp",Áo khoác gió,200000,44,450000,250000,0.0,0,1000,1000,https://tiki.vn/product-p272571401.html?spid=272571403
30685141,418935,KHATOCO ,Áo Sơ Mi Nam Tay Dài Form Slim Khatoco A1MD468S1-CNMK017-2011-D,Root,0,0,468000,468000,5.0,5,1000,1000,https://tiki.vn/product-p30685141.html?spid=30685143
196033255,111461,OEM,Áo sơ mi nam form rộng tay dài kiểu trẻ trung hàn quốc chất lụa mềm mịn mát ít nhăn- MRD04,Áo sơ mi nam tay dài trơn,105000,50,210000,105000,5.0,3,1000,1000,https://tiki.vn/product-p196033255.html?spid=196033257
52339542,111461,OEM,Áo sơ mi nam dài tay màu trắng không túi vải mềm mịn không nhăn,Thời Trang,0,0,68000,68000,4.5,97,1000,1000,https://tiki.vn/product-p52339542.html?spid=71087036
4027231,111461,OEM,Áo Khoác Dù Nam Phối Dây Kéo - K2015,Thời Trang,0,0,124000,124000,3.9,114,1000,1000,https://tiki.vn/product-p4027231.html?spid=47686398
115832681,111461,OEM,"[SALE SỐC] Áo khoác blazer nam ,áo vest nam balzer nam phong cách Hàn Quốc - DUKI STORE",Bộ vest nam,0,0,359000,359000,4.5,104,1000,1000,https://tiki.vn/product-p115832681.html?spid=115832683
201117677,111461,OEM,"Áo phông nam dài tay cổ tròn chất cotton tổ ong, Áo thun nam chất xốp Thái co dãn 4 chiều AD01 - PROMAN",Root,0,0,72000,72000,0.0,0,1000,1000,https://tiki.vn/product-p201117677.html?spid=201117705
272422574,535627,5S,"Áo Polo Nam 5S FASHION, Chất Lụa, Thiết Kế Dệt Bo Hiệu Ứng, Thêu Sang Trọng, Lịch Lãm (APC23094)",Áo thun nam ngắn tay có cổ,242000,48,499000,257000,4.5,2,1000,1000,https://tiki.vn/product-p272422574.html?spid=272422576
213724194,111461,OEM,"[HOT TREND] Áo giữ nhiệt nam dài tay, áo thu đông cho nam cổ 3 cm, hàng cao cấp PL",Áo thun nam dài tay,5000,11,45000,40000,1.0,1,1000,1000,https://tiki.vn/product-p213724194.html?spid=213724196
162714939,718933,ARADO FASHION,"Áo khoác nam, áo chống nắng cao cấp, chất vải nhẵn mịn, thấm hút mồ hôi - FORMEN SHOP - FM1THT024",Áo khoác gió,86000,40,215000,129000,4.1,10,1000,1000,https://tiki.vn/product-p162714939.html?spid=162714941
249215436,111461,OEM,Quần Kaki túi hộp nam trung niên - Quần Jogger kaki vải dày dặn full size,Quần jogger nam,0,0,179000,179000,4.6,7,1000,1000,https://tiki.vn/product-p249215436.html?spid=249215438
9730171,219929,CITYMEN,"Combo 10 Quần Lót Nam nhiều lưng vải cotton 2 chiều hiệu CITYMEN, màu ngẫu nhiên, sịp nam - LMTK-MULTI2C",Thời Trang,81000,45,180000,99000,4.5,583,1000,1000,https://tiki.vn/product-p9730171.html?spid=9730173
47258195,111461,OEM,ÁO VEST NAM CAO CẤP V2558112,Root,0,0,189000,189000,4.2,13,1000,1000,https://tiki.vn/product-p47258195.html?spid=76150926
73570874,111461,OEM,Áo Thun Nam Cổ Tròn Nhiều Màu,Áo thun nam ngắn tay không cổ,0,0,45000,45000,0.0,0,1000,1000,https://tiki.vn/product-p73570874.html?spid=162765177
251566557,273717,GOKING,"NEVER SAY GAME OVER, NEW GAME LOADING, mã G153. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, cặp đôi, gia đình, đội nhóm",Áo thun nam ngắn tay không cổ,0,0,69000,69000,5.0,1,1000,1000,https://tiki.vn/product-p251566557.html?spid=251566581
271529139,939827,AVIANO,"Quần Tây Nam AVIANO Có Bộ Chỉnh Cạp, Quần Âu Nam Công Sở Chất Kaki",Quần tây nam,111000,32,350000,239000,4.0,1,1000,1000,https://tiki.vn/product-p271529139.html?spid=271529141
7175397,111461,OEM,Bộ 4 Quần Sịp Tam Giác Nam Nhật Bản (Nhiều màu) - 5Star,Thời Trang,0,0,85000,85000,3.7,12,1000,1000,https://tiki.vn/product-p7175397.html?spid=7175417
184327303,240279,Owen,OWEN - Quần âu nam màu ĐEN dáng regular cạp tăng đơ co dãn,Quần tây nam,65000,10,650000,585000,5.0,3,1000,1000,https://tiki.vn/product-p184327303.html?spid=184327335
251572799,273717,GOKING,"Think Outside The Box, mã G282. Áo thun siêu đẹp cho cả gia đình. Form unisex cho nam nữ, trẻ em, bé trai gái. Quà tặng ý nghĩa cho bố mẹ, con cái, bạn bè, doanh nghiệp, hội nhóm. Áo phông hàng hiệu Goking cao cấp in hình chữ 3D",Áo thun nam ngắn tay không cổ,0,0,69000,69000,0.0,0,1000,1000,https://tiki.vn/product-p251572799.html?spid=251572821
132097555,111461,OEM,Áo Đồng Phục Đầu Bếp Màu Đen Tay Ngắn,Áo sơ mi nam tay ngắn trơn,0,0,97000,97000,4.7,11,1000,1000,https://tiki.vn/product-p132097555.html?spid=132097557
72885407,111461,OEM,Áo thun tay dài form rộng unisex - áo sweater sọc lost xẻ tà,Thời trang nam,51000,46,110000,59000,4.6,16,1000,1000,https://tiki.vn/product-p72885407.html?spid=72885411
169111704,718933,ARADO FASHION,"Combo 3 quần lót nam x-men, lưng quàn bản vừa, chất vải thấm hút mồ hôi - FORMEN SHOP - FM3QS005",Quần lót nam,51000,34,150000,99000,3.5,2,1000,1000,https://tiki.vn/product-p169111704.html?spid=169111706
259537213,146067,Vĩnh Tiến,Áo Sơ Mi Họa Tiết Ngắn Tay Bamboo Regular Fit 425 Vĩnh Tiến - Nhiều Màu,Áo sơ mi nam tay ngắn họa tiết,0,0,425000,425000,0.0,0,1000,1000,https://tiki.vn/product-p259537213.html?spid=259537223
198518327,418935,KHATOCO ,Áo thun nam tay ngắn Khatoco A2MN418R2-VNMK019-2403-N-XANH DƯƠNG,Áo thun nam ngắn tay có cổ,0,0,418000,418000,5.0,4,1000,1000,https://tiki.vn/product-p198518327.html?spid=198518329
31638205,488103,MRM Manlywear,Combo 4 quần lót nam cạp 1cm sợi tre Bamboo tự nhiên mềm mịn thấm hút mồ hôi - Màu Ngẫu nhiên,Root,71000,24,300000,229000,4.7,312,1000,1000,https://tiki.vn/product-p31638205.html?spid=31638220
163895036,5402543,SOMIANTON,Áo Sơ Mi Nam Trắng Ngắn Tay Công Sở Trung Niên Thương Hiệu Anton Vải Nano SRN01,Áo sơ mi nam tay ngắn trơn,115000,30,380000,265000,0.0,0,1000,1000,https://tiki.vn/product-p163895036.html?spid=163895040
205226439,361817,Tsimple,Áo Thể Thao Nam cổ tròn tay ngắn tập gym vải thun lạnh thoáng mát co giãn chuẩn form MSSAHS,Áo thun nam ngắn tay không cổ,54000,36,149000,95000,4.8,38,1000,1000,https://tiki.vn/product-p205226439.html?spid=205226441
67903869,111461,OEM,"Quần Âu nam Đen Vải Chéo Loại Đẹp,Quần Tây Nam co dãn không nhăn dáng hàn quốc",Root,0,0,88000,88000,4.2,146,1000,1000,https://tiki.vn/product-p67903869.html?spid=74603951
104207558,111461,OEM,"Quần âu nam ống côn thêu họa tiết vải lụa co giãn,quần tây nam không nhăn không xù 3 màu(QATO)",Root,0,0,110000,110000,3.5,39,1000,1000,https://tiki.vn/product-p104207558.html?spid=144295404
273282306,535627,5S,"Áo Sweater Nỉ Nam 5S FASHION Cổ Tròn Cotton, Thiết Kế In Trẻ Trung, Vải Dệt Hiệu Ứng Ô Vuông Nổi Phong Cách (ANO23017)",Áo nỉ nam,155000,35,449000,294000,0.0,0,1000,1000,https://tiki.vn/product-p273282306.html?spid=273282308
144162512,79991,Aristino,"Combo 3 quân sịp đùi nam, set 3 quần lót boxer nam Aristino chất liệu cotton kháng khuẩn, khử mùi, co giãn 4 chiều thấm hút mồ hôi cực tốt ABX03707",Quần lót nam,0,0,330000,330000,0.0,0,1000,1000,https://tiki.vn/product-p144162512.html?spid=152317804
68354319,111461,OEM,Áo khoác dù 2 mặt thời trang nam M.O.N Boutique,Thời Trang,0,0,105000,105000,4.0,58,1000,1000,https://tiki.vn/product-p68354319.html?spid=71004810
73335809,317963,N6,Áo Khoác Nam Big Size Áo Khoác Dù Nam Cổ Cao Chống Lạnh Chống Gió Chống Nắng Tia UV Cao Cấp Nam Tính Hàn Quốc QM19 - ShopN6 (Nhiều Màu),Áo khoác gió,86000,34,255000,169000,4.1,81,1000,1000,https://tiki.vn/product-p73335809.html?spid=73335821
272912974,535627,5S,"Bộ Quần Áo Nam Dài Tay 5S FASHION (4 Màu), Chất Nỉ Cotton Dày Dặn, Phom Slimfit, Trơn Basic, Màu Sắc Dễ Mặc (BNI23400)",Đồ mặc nhà nam - Bộ dài,248000,30,838000,590000,5.0,2,1000,1000,https://tiki.vn/product-p272912974.html?spid=272912986
201384530,159835,LADOS,"Áo khoác dạ nam phong cách Hàn Quốc cao cấp LADOS-2061 ấm áp, sang trọng, dễ phối đồ",Áo khoác nỉ,331000,47,700000,369000,4.0,2,1000,1000,https://tiki.vn/product-p201384530.html?spid=201384556
